Product Code,Product Description,Purchase/Usage Frequency,Date,Customer ID,State
85123A,Recurrent Deposit Account,1,12-01-2010 08:26,17850,Uttar Pradesh
84879,Guarantees,1,12-01-2010 08:34,13047,Uttar Pradesh
22727,Savings Account,1,12-01-2010 08:45,12583,Uttarakhand
22086,Vehicle Insurance,1,12-01-2010 09:00,13748,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 09:02,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 09:32,17850,Uttar Pradesh
22386,Debit Card,1,12-01-2010 09:37,14688,Uttar Pradesh
20725,Funds,1,12-01-2010 09:37,14688,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 09:37,14688,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 09:41,15311,Uttar Pradesh
22457,Taxes,1,12-01-2010 09:53,18074,Uttar Pradesh
22469,Credit Card,1,12-01-2010 09:53,18074,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 09:57,16029,Uttar Pradesh
22469,Credit Card,1,12-01-2010 09:59,16250,Uttar Pradesh
22727,Savings Account,1,12-01-2010 10:03,12431,Kerala
85123A,Recurrent Deposit Account,1,12-01-2010 10:19,17511,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 10:19,17511,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 10:19,17511,Uttar Pradesh
84879,Guarantees,1,12-01-2010 10:29,13705,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 10:39,13408,Uttar Pradesh
84879,Guarantees,1,12-01-2010 10:47,13767,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 10:47,13767,Uttar Pradesh
22727,Savings Account,1,12-01-2010 10:47,13767,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 10:51,17850,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 11:21,15862,Uttar Pradesh
20725,Funds,1,12-01-2010 11:21,15862,Uttar Pradesh
22382,Long Term Loan,1,12-01-2010 11:21,15862,Uttar Pradesh
22384,E Account,1,12-01-2010 11:21,15862,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 11:22,15513,Uttar Pradesh
22469,Credit Card,1,12-01-2010 11:29,16218,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 11:29,16218,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 11:29,16218,Uttar Pradesh
22383A,Medium Term Loan,1,12-01-2010 11:29,16218,Uttar Pradesh
20728,Particular Plus Account,1,12-01-2010 11:29,16218,Uttar Pradesh
20727,Long Term Deposits,1,12-01-2010 11:29,16218,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 11:33,17850,Uttar Pradesh
84879,Guarantees,1,12-01-2010 11:41,14307,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 11:41,14307,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 11:45,17908,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 11:45,17908,Uttar Pradesh
20728,Particular Plus Account,1,12-01-2010 11:49,17920,Uttar Pradesh
22382,Long Term Loan,1,12-01-2010 11:49,17920,Uttar Pradesh
22383A,Medium Term Loan,1,12-01-2010 11:49,17920,Uttar Pradesh
20727,Long Term Deposits,1,12-01-2010 11:49,17920,Uttar Pradesh
21034,Home Insurance,1,12-01-2010 11:49,17920,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 11:49,17920,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 11:49,17920,Uttar Pradesh
20725,Funds,1,12-01-2010 11:49,17920,Uttar Pradesh
22469,Credit Card,1,12-01-2010 11:57,12838,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 11:57,12838,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 11:57,12838,Uttar Pradesh
84879,Guarantees,1,12-01-2010 12:22,14849,Uttar Pradesh
22386,Debit Card,1,12-01-2010 12:23,17968,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 12:23,17968,Uttar Pradesh
84879,Guarantees,1,12-01-2010 12:23,17968,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 12:23,17968,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 12:23,17968,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 12:23,17968,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 12:23,17968,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 12:23,17968,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 12:27,16210,Uttar Pradesh
21034,Home Insurance,1,12-01-2010 12:31,17897,Uttar Pradesh
84879,Guarantees,1,12-01-2010 12:36,16552,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 12:36,16552,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 12:36,16552,Uttar Pradesh
85123A,Recurrent Deposit Account,1,12-01-2010 12:43,14729,Uttar Pradesh
22197A,Flood Insurance,1,12-01-2010 12:43,14729,Uttar Pradesh
22469,Credit Card,1,12-01-2010 12:43,14729,Uttar Pradesh
21034,Home Insurance,1,12-01-2010 12:43,14729,Uttar Pradesh
22469,Credit Card,1,12-01-2010 12:43,14729,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 12:49,15012,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 12:54,14078,Uttar Pradesh
85099B,Short Term Deposits,1,12-01-2010 12:58,14001,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 13:17,15525,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 13:21,17905,Uttar Pradesh
22727,Savings Account,1,12-01-2010 13:23,15485,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 13:23,15485,Uttar Pradesh
21212,Health Insurance,1,12-01-2010 13:24,12433,Telangana
22197A,Flood Insurance,1,12-01-2010 13:24,12433,Telangana
84879,Guarantees,1,12-01-2010 13:45,18144,Uttar Pradesh
22423,Payroll Account,1,12-01-2010 13:51,15922,Uttar Pradesh
22086,Vehicle Insurance,1,12-01-2010 13:54,14594,Uttar Pradesh
22457,Taxes,1,12-01-2010 13:54,14594,Uttar Pradesh
22469,Credit Card,1,12-01-2010 13:54,14594,Uttar Pradesh
